,is_movie,release_year,year_added,month_added,duration_num,rating_num
188,0,2017,2017,9,60,10.0
189,1,2019,2020,7,89,18.0
190,1,2016,2017,5,96,17.0
191,0,2017,2019,3,60,18.0
192,1,2019,2019,4,95,18.0
193,1,2018,2018,8,87,18.0
194,1,2020,2020,3,93,14.0
195,0,2006,2020,11,60,14.0
196,1,2014,2019,4,113,17.0
197,0,2018,2018,5,60,0.0
198,0,2019,2019,10,60,0.0
199,0,2020,2020,12,60,10.0
200,1,2020,2020,9,20,10.0
201,1,2007,2019,3,117,14.0
202,0,2010,2019,3,60,14.0
203,1,2016,2016,10,97,18.0
204,1,2012,2019,4,98,18.0
205,1,2016,2021,1,108,13.0
206,1,2014,2018,7,125,17.0
207,1,2014,2017,4,91,13.0
208,1,2017,2018,6,76,14.0
209,1,2020,2020,11,90,18.0
210,1,1998,2019,12,82,13.0
211,1,2015,2016,9,111,18.0
212,1,2015,2017,4,92,18.0
213,0,2020,2020,9,60,14.0
214,1,2012,2019,1,110,18.0
215,1,2013,2019,6,94,17.0
216,1,2016,2019,10,100,14.0
217,1,2011,2020,8,91,10.0
218,0,2020,2020,11,60,14.0
219,1,2019,2019,11,94,18.0
221,1,2016,2017,10,108,18.0
222,1,2015,2019,2,130,18.0
223,1,2020,2020,4,83,14.0
224,1,2011,2019,3,123,13.0
225,0,2019,2019,1,180,10.0
226,1,2009,2018,1,106,17.0
227,1,2020,2020,2,87,0.0
228,1,2016,2019,6,130,14.0
229,1,2009,2019,11,100,17.0
230,1,2017,2018,4,96,14.0
231,1,2015,2017,8,89,10.0
232,1,1988,2011,10,95,14.0
234,1,2019,2020,1,156,18.0
235,0,2018,2019,1,60,18.0
236,1,2015,2019,10,98,13.0
237,1,2019,2019,5,30,10.0
238,1,1996,2020,12,108,17.0
239,0,2019,2019,6,60,14.0
240,1,2012,2020,7,92,13.0
241,0,2016,2020,7,60,18.0
243,1,2016,2019,12,99,18.0
245,1,2018,2018,12,122,18.0
246,1,2017,2020,11,84,0.0
247,1,2015,2015,12,57,14.0
248,0,2018,2018,7,120,18.0
249,1,2008,2020,11,107,0.0
250,1,2002,2020,7,102,10.0
251,1,2008,2018,11,103,18.0
252,1,2017,2018,2,91,14.0
253,1,2020,2020,6,104,10.0
254,1,2017,2018,10,91,10.0
255,1,2018,2018,9,110,10.0
256,0,2015,2019,11,60,10.0
257,1,2016,2017,5,111,18.0
258,0,2013,2021,1,120,18.0
259,0,2015,2017,12,60,14.0
260,0,2018,2018,3,60,14.0
261,1,2019,2020,10,77,18.0
262,1,2018,2019,3,99,10.0
263,1,2011,2018,4,122,18.0
264,1,2017,2018,5,150,18.0
265,1,2009,2018,11,117,14.0
266,1,2013,2018,1,126,10.0
267,1,1988,2017,9,148,14.0
268,1,2018,2018,11,122,10.0
269,1,2008,2018,11,95,14.0
270,1,2018,2020,9,133,14.0
271,1,2011,2019,12,164,14.0
272,1,2010,2017,10,115,14.0
273,1,1993,2017,6,154,14.0
274,1,2010,2018,1,133,14.0
275,1,2019,2019,12,110,14.0
277,1,2015,2017,5,127,10.0
278,1,2015,2018,11,146,14.0
279,1,2013,2018,11,136,14.0
280,1,2012,2019,4,100,18.0
281,1,2017,2019,1,90,14.0
282,1,2016,2019,1,88,14.0
283,1,2016,2018,5,131,14.0
284,0,2017,2017,8,120,10.0
286,1,2002,2019,2,101,13.0
287,1,2013,2019,4,123,17.0
288,0,2019,2019,9,120,14.0
289,0,2020,2020,4,60,10.0
290,0,2019,2019,5,60,14.0
291,1,2015,2016,8,90,18.0
292,1,2016,2017,6,89,18.0
293,1,2009,2018,12,87,18.0
294,0,2018,2018,10,60,14.0
295,1,2013,2016,12,24,10.0
296,1,2015,2019,4,88,18.0
297,1,2007,2019,1,133,13.0
298,1,2012,2020,6,110,17.0
300,1,2010,2020,5,129,10.0
301,1,2017,2018,1,87,17.0
302,1,2018,2020,8,87,17.0
303,0,2018,2019,11,60,18.0
304,1,2020,2020,7,120,18.0
305,1,2019,2019,6,59,18.0
306,0,2018,2018,9,60,14.0
307,1,2018,2018,10,74,18.0
308,1,1986,2011,10,96,18.0
309,1,2014,2020,6,91,14.0
310,1,2018,2018,3,59,18.0
311,1,2018,2019,1,105,14.0
312,1,2017,2017,7,63,18.0
313,1,2013,2019,11,111,17.0
314,1,2018,2020,9,96,13.0
315,1,2017,2019,12,99,14.0
316,1,2015,2015,6,92,18.0
318,1,2016,2020,5,90,14.0
319,0,2018,2018,8,60,18.0
320,1,2020,2020,9,63,18.0
321,0,2013,2016,4,60,10.0
322,0,2017,2020,10,60,10.0
323,1,2019,2019,10,106,13.0
324,0,2020,2020,4,120,18.0
325,1,2019,2019,5,38,10.0
327,1,2018,2018,12,87,18.0
328,1,2019,2019,12,25,10.0
329,1,2020,2020,12,105,17.0
330,1,2017,2020,3,94,17.0
331,1,2008,2020,8,107,18.0
332,1,2012,2018,3,89,17.0
333,0,2014,2017,7,60,14.0
334,1,2018,2019,1,92,18.0
335,0,2017,2019,7,60,18.0
336,0,2010,2017,8,120,18.0
337,0,2018,2018,9,60,18.0
338,0,2017,2018,11,60,10.0
339,0,2019,2019,12,60,18.0
340,0,2015,2017,4,60,14.0
341,0,2020,2020,8,180,14.0
342,1,2018,2018,12,22,10.0
343,1,1990,2020,4,174,14.0
344,1,2018,2018,2,60,18.0
345,1,2009,2018,10,97,14.0
346,1,2006,2019,12,122,14.0
347,1,2012,2018,3,91,17.0
348,0,2019,2020,1,60,14.0
349,0,2018,2019,3,120,18.0
350,0,2014,2019,7,60,10.0
351,1,2020,2020,11,84,10.0
352,1,2020,2020,1,97,10.0
353,1,2015,2017,10,127,14.0
354,1,2004,2018,3,153,14.0
355,1,2018,2018,5,158,18.0
356,1,2012,2020,7,151,14.0
357,0,2020,2020,1,60,14.0
358,1,2009,2020,10,150,14.0
359,0,2015,2017,10,60,10.0
360,0,2016,2016,12,120,18.0
361,1,2017,2018,5,105,18.0
362,1,2020,2020,12,109,18.0
363,0,2014,2020,3,60,14.0
364,0,2019,2020,3,60,0.0
365,0,2015,2017,11,60,14.0
366,1,2019,2021,1,81,18.0
367,0,2017,2018,9,60,14.0
368,1,2020,2020,2,162,14.0
369,1,2017,2020,3,104,18.0
370,1,2017,2017,8,54,18.0
371,1,2017,2019,8,94,18.0
372,1,2017,2020,12,83,18.0
373,1,2019,2019,12,85,18.0
374,1,2016,2017,7,106,10.0
375,1,2018,2018,1,60,18.0
376,1,2018,2018,8,102,18.0
377,1,2019,2020,4,88,18.0
378,1,2020,2020,1,51,18.0
379,1,2018,2018,6,100,18.0
380,0,2020,2020,6,240,0.0
381,1,1979,2020,6,131,18.0
382,1,1989,2020,6,109,18.0
383,1,2019,2019,3,69,18.0
384,1,2019,2020,5,106,14.0
385,1,2015,2020,7,115,18.0
386,1,2016,2016,5,60,18.0
387,1,2018,2018,5,64,18.0
388,1,2018,2018,6,110,18.0
389,0,2017,2017,11,60,18.0
390,1,2017,2017,9,54,18.0
391,1,1980,2018,1,147,14.0
392,1,1974,2019,7,112,10.0
393,0,2020,2020,12,60,18.0
394,1,2019,2020,10,87,18.0
395,1,2017,2018,1,63,10.0
397,1,2019,2019,4,88,18.0
398,0,2020,2020,12,60,10.0
400,1,2018,2018,3,90,10.0
401,1,2016,2017,8,89,14.0
402,1,2017,2020,3,79,18.0
403,1,2018,2019,3,101,17.0
404,0,2018,2018,8,60,10.0
405,0,2019,2020,3,120,14.0
406,1,2020,2020,10,102,10.0
407,1,2020,2020,5,122,17.0
408,1,1989,2020,6,85,0.0
